version,n,median_LB,median_HB,pct_change,W,p,rank_biserial,ci_low,ci_high,lower_under_HB
pipeline (primary),12,0.0349516633059056,0.028825469415592234,-17.52761760347541,21.0,0.17626953125,-0.46153846153846156,-0.020436753999165048,0.0014501500797012498,8
swap removed,12,0.018420140841125143,0.0150419284026222,-18.33977529075502,20.0,0.1513671875,-0.48717948717948717,-0.009837446110269269,4.185979394641902e-05,9
