ID,session,period,condition,block,height,weight,boredom,state_pre,state_post,state_delta,flag_calibration,no_recording,PeriodicPower,RemnantPower,VisualWeight,rms_ap,rms_ml,rms_total
AN07IE11,A,1,HB,1,1.77,68,3.0,14,40,26,False,False,0.01635833868887,0.0424113885059773,0.307419136568028,0.381936911591467,0.361750225443121,0.540140360343547
AN07IE11,A,1,HB,2,1.77,68,3.0,14,40,26,False,False,0.031990657040617,0.0458984582458866,0.367773789978783,0.465817836477873,0.403897037156525,0.6587659019423
AN07IE11,A,1,HB,3,1.77,68,4.0,14,40,26,False,False,0.0248608427687697,0.072819566008671,0.358578497323519,0.50802168070889,0.350741235230383,0.718451150838087
AN07IE11,A,1,HB,4,1.77,68,5.0,14,40,26,False,False,0.022321046279692,0.102398810916361,0.468823928288984,0.608486130729961,0.778176944091461,0.86052933859424
AN07IE11,B,2,LB,1,1.77,68,3.0,25,21,-4,False,False,0.0303988356064695,0.0812330376972231,0.387491154727042,0.496699709499928,0.567639785353541,0.702439465601575
AN07IE11,B,2,LB,2,1.77,68,3.0,25,21,-4,False,False,0.0468592884860402,0.131264326293861,0.489847232009309,0.588330044031555,0.600786274699089,0.832024327420986
AN07IE11,B,2,LB,3,1.77,68,2.0,25,21,-4,False,False,0.0720287554222217,0.0721244717547242,0.509199277313565,0.51026925573801,0.483590490467833,0.72162970192672
AN07IE11,B,2,LB,4,1.77,68,3.0,25,21,-4,False,False,0.0479041514029944,0.127997960442353,0.468156369878579,0.633413490868107,0.749893775978618,0.895781949375763
AN23BE15,A,1,HB,1,1.82,74,5.0,32,46,14,False,False,0.0261514885274269,0.0628527983853717,0.268885778296221,0.361182832190345,0.252219278423718,0.510789659779911
AN23BE15,A,1,HB,2,1.82,74,5.0,32,46,14,False,False,0.0360662474026013,0.0333890394551802,0.242814264552467,0.404849259638372,0.270054787729237,0.572543313697292
AN23BE15,A,1,HB,3,1.82,74,7.0,32,46,14,False,False,0.0362030726275126,0.091056871371931,0.27684050245735,0.379665489220559,0.238138722751888,0.536928084020731
AN23BE15,A,1,HB,4,1.82,74,8.0,32,46,14,False,False,0.0862457661194786,0.0511215546094201,0.283256724751108,0.402776395282337,0.285183221699441,0.569611840812028
AN23BE15,B,2,LB,1,1.82,74,7.0,45,34,-11,False,False,0.02821559395707,0.0638182412224185,0.268263288567053,0.432969995968298,0.310705069849227,0.612312040398992
AN23BE15,B,2,LB,2,1.82,74,5.0,45,34,-11,False,False,0.0672285082552392,0.0793708226196302,0.308688745379909,0.464133792829616,0.302185504813671,0.656384304575307
AN23BE15,B,2,LB,3,1.82,74,6.0,45,34,-11,False,False,0.0221037322124149,0.100364344157207,0.34480307808762,0.430070542956311,0.342758916653085,0.608211594625976
AN23BE15,B,2,LB,4,1.82,74,7.0,45,34,-11,False,False,0.0607665797576188,0.120576718712885,0.266089827134963,0.494954559421063,0.314136747019532,0.699971450691667
BI20OE24,A,1,LB,1,1.59,67,0.0,11,17,6,False,True,,,,,,
BI20OE24,A,1,LB,2,1.59,67,0.0,11,17,6,False,False,0.0186993432147545,0.0260816073949011,0.27337826399989,0.329743379102363,0.239518491328951,0.466327558829295
BI20OE24,A,1,LB,3,1.59,67,0.0,11,17,6,False,False,0.0134302742030002,0.0233810916272227,0.243288530239273,0.316670430583333,0.249466059990564,0.447839617733477
BI20OE24,A,1,LB,4,1.59,67,1.0,11,17,6,False,False,0.0239160927854187,0.0374099600154875,0.30117002345861,0.313786688242337,0.297780922393202,0.443761390204451
BI20OE24,B,2,HB,1,1.59,67,6.0,21,41,20,False,True,,,,,,
BI20OE24,B,2,HB,2,1.59,67,7.0,21,41,20,False,False,0.0158661700705393,0.0846661156267913,0.2535394910869,0.38287676989219,0.377081862243995,0.541469520699137
BI20OE24,B,2,HB,3,1.59,67,9.0,21,41,20,False,False,0.0180038927969201,0.0694372293654718,0.275574916955844,0.408469329526909,0.403265391542256,0.577662865630399
BI20OE24,B,2,HB,4,1.59,67,8.0,21,41,20,False,False,0.0549958159470071,0.103810268559832,0.261342862267634,0.472666500507922,0.498722970581777,0.668451375497733
CA04TU11,A,1,LB,1,1.81,75,0.0,11,10,-1,False,False,0.10496790324954,0.0487690593990892,0.381331358116923,0.377418507849301,0.227816759368778,0.533750372491098
CA04TU11,A,1,LB,2,1.81,75,1.0,11,10,-1,False,False,0.0569425182168905,0.0788135681975482,0.264536676669067,0.383091849943583,0.247809869832183,0.541773689824814
CA04TU11,A,1,LB,3,1.81,75,0.0,11,10,-1,False,False,0.0276602904687131,0.0867740791707035,0.276159940459982,0.365266525607855,0.225264562229767,0.516564874395527
CA04TU11,A,1,LB,4,1.81,75,0.0,11,10,-1,False,False,0.0582383094263242,0.0830375525323236,0.382355770085944,0.420579724028703,0.240895413468761,0.594789549780525
CA04TU11,B,2,HB,1,1.81,75,0.0,11,12,1,False,False,0.0354276692814298,0.0705438444786896,0.30236882623799,0.385115534992148,0.241169765100928,0.544635612666466
CA04TU11,B,2,HB,2,1.81,75,1.0,11,12,1,False,False,0.0403976442130248,0.0844186426272847,0.291749797385252,0.40076024644372,0.213614870682391,0.566760575780693
CA04TU11,B,2,HB,3,1.81,75,1.0,11,12,1,False,False,0.0351400329859777,0.072420747985429,0.293335699246254,0.432061701627329,0.259524073675176,0.611027518223366
CA04TU11,B,2,HB,4,1.81,75,1.0,11,12,1,False,False,0.0332240501028771,0.0661506020066855,0.267434372798673,0.445175467741051,0.261978328329656,0.62957318411518
CH08TU30,A,1,HB,1,1.79,82,2.0,19,45,26,False,False,0.0265422893151318,0.0675319683152196,0.110598651039666,0.308076843593467,0.260993921153513,0.435686450462976
CH08TU30,A,1,HB,2,1.79,82,2.0,19,45,26,False,False,0.0227082896471231,0.105601542179394,0.186078313115827,0.370958253057975,0.320157810886686,0.524614192548819
CH08TU30,A,1,HB,3,1.79,82,3.0,19,45,26,False,False,0.0232028013579209,0.0613614357707795,0.211282010682571,0.356647784336105,0.301946617636275,0.504376133598434
CH08TU30,A,1,HB,4,1.79,82,4.0,19,45,26,False,False,0.0100500276618397,0.10028978256907,0.0843748206413258,0.410736863297238,0.334147048292604,0.580869642641538
CH08TU30,B,2,LB,1,1.79,82,1.0,29,33,4,False,False,0.0164449405661732,0.0653336564009025,0.276234322319518,0.376723856201118,0.431519947359098,0.532767986709112
CH08TU30,B,2,LB,2,1.79,82,1.0,29,33,4,False,False,0.023046029007916,0.150138240670721,0.263923530250105,0.441108601974064,0.367394612982915,0.623821767391156
CH08TU30,B,2,LB,3,1.79,82,2.0,29,33,4,False,False,0.0692436642814346,0.167277218593181,0.376520255983048,0.428132713650483,0.393948643858778,0.60547109014011
CH08TU30,B,2,LB,4,1.79,82,2.0,29,33,4,False,False,0.0356909363111837,0.217362636587743,0.207596758951271,0.429136065599896,0.435618531417965,0.606890044074803
CH10AL22,A,1,LB,1,1.88,78,4.0,21,44,23,False,False,0.151569067373372,0.409821310945139,0.814433702034283,0.790969576624204,1.24592334075252,1.11859990268645
CH10AL22,A,1,LB,2,1.88,78,7.0,21,44,23,False,False,0.0248129379832324,0.078605093936864,0.355584074568236,0.427359206239378,0.352497211735522,0.604377185468729
CH10AL22,A,1,LB,3,1.88,78,8.0,21,44,23,False,False,0.0237911748139511,0.072163829684967,0.29121950624647,0.41863461130368,0.29277241766728,0.592038744984453
CH10AL22,A,1,LB,4,1.88,78,8.0,21,44,23,False,False,0.0838695463605873,0.0723481707534561,0.345898577229786,0.396153347497019,0.254009174753153,0.560245436809786
CH10AL22,B,2,HB,1,1.88,78,4.0,27,36,9,False,False,0.0233446501610577,0.0966874500711656,0.320807428101397,0.367650965712848,0.270999868171361,0.519936981930675
CH10AL22,B,2,HB,2,1.88,78,8.0,27,36,9,False,False,0.0401146259244666,0.299247880530339,0.31925526686129,0.602969278738238,0.53261544151012,0.852727331685939
CH10AL22,B,2,HB,3,1.88,78,8.0,27,36,9,False,False,0.023660803607823,0.213862203378644,0.284265092258602,0.497841437735026,0.406066796977455,0.704054113156195
CH10AL22,B,2,HB,4,1.88,78,8.0,27,36,9,False,False,0.0651521889927532,0.221160812141282,0.37808218895636,0.564169624454043,0.598655642677785,0.797856334381843
CH11RE22,A,1,HB,1,1.69,61,0.0,15,27,12,False,False,0.0051261612875635,0.0229682807318255,0.112773579392036,0.471507986085473,1.50806189711899,0.6668129886893
CH11RE22,A,1,HB,2,1.69,61,1.0,15,27,12,False,False,0.0090393614758692,0.0205635022594836,0.136226247040688,0.291269678491262,0.208979392991267,0.411917529630394
CH11RE22,A,1,HB,3,1.69,61,2.0,15,27,12,False,False,0.0102126231202063,0.020357228180925,0.12397709422465,0.279437737054194,0.201091812242595,0.395184637580888
CH11RE22,A,1,HB,4,1.69,61,3.0,15,27,12,False,False,0.0070822433050341,0.0272672353964308,0.119610344656327,0.313554260640314,0.211606252851113,0.4434326879374
CH11RE22,B,2,LB,1,1.69,61,0.0,18,20,2,False,False,0.0057417822134424,0.016543313581597,0.119516332281283,0.312903055834138,0.213203962550422,0.442511745268624
CH11RE22,B,2,LB,2,1.69,61,0.0,18,20,2,False,False,0.014453289770444,0.0227193190915285,0.163706900022784,0.744689633064188,0.483884907673763,1.05315017883802
CH11RE22,B,2,LB,3,1.69,61,1.0,18,20,2,False,False,0.0070353991470374,0.0238922416912323,0.116717894019931,0.479975593145665,0.305537159021137,0.678787993434671
CH11RE22,B,2,LB,4,1.69,61,1.0,18,20,2,False,False,0.0079229272404902,0.0279873773969206,0.0653279998892113,0.392483066411819,0.268912430544754,0.555054875521375
DI16UB31,A,1,HB,1,1.62,64,1.0,16,22,6,False,False,0.0226361550683308,0.0407880164128586,0.297531590836152,0.329781243494587,0.233642314441382,0.466381107166309
DI16UB31,A,1,HB,2,1.62,64,3.0,16,22,6,False,False,0.0244921207010988,0.0576513544325424,0.267619221375088,0.366777160844717,0.256359868909995,0.518701235235296
DI16UB31,A,1,HB,3,1.62,64,3.0,16,22,6,False,False,0.0277965412920422,0.062340027223184,0.356990304137584,0.362273719292776,0.249932892797826,0.512332407115187
DI16UB31,A,1,HB,4,1.62,64,4.0,16,22,6,False,False,0.037173200322926,0.0506217846727088,0.33916553966098,0.365026374275381,0.237045699376997,0.516225249124121
DI16UB31,B,2,LB,1,1.62,64,3.0,20,21,1,False,False,0.0292622899820688,0.0360184958356685,0.318111131470275,0.361499572214268,0.243976459841447,0.51123759781749
DI16UB31,B,2,LB,2,1.62,64,3.0,20,21,1,False,False,0.0273733416120527,0.0657922475546457,0.35730834539791,0.386614801086853,0.276574130747042,0.546755895111204
DI16UB31,B,2,LB,3,1.62,64,3.0,20,21,1,False,False,0.0301520804623766,0.0338264153979361,0.322900447077485,0.385971188641528,0.269238728330826,0.545845689662113
DI16UB31,B,2,LB,4,1.62,64,4.0,20,21,1,False,False,0.0259619878694019,0.0445386301797726,0.3092605273006,0.366434489639371,0.259624564393485,0.518216624969262
DO11UB30,A,1,LB,1,1.89,84,0.0,9,11,2,False,False,0.0448634619558744,0.137550807285677,0.357273076771125,0.660730352891638,1.30232932522068,0.934413826130915
DO11UB30,A,1,LB,2,1.89,84,0.0,9,11,2,False,False,0.0673654162406252,0.0879702692003006,0.450055526180625,0.558772531479654,0.717815159490835,0.790223692300074
DO11UB30,A,1,LB,3,1.89,84,0.0,9,11,2,False,False,0.122808100204526,0.178337116988146,0.62711594615116,0.999126868010039,1.27695110282856,1.41297876727115
DO11UB30,A,1,LB,4,1.89,84,1.0,9,11,2,False,True,,,,,,
DO11UB30,B,2,HB,1,1.89,84,5.0,11,18,7,False,True,,,,,,
DO11UB30,B,2,HB,2,1.89,84,6.0,11,18,7,False,True,,,,,,
DO11UB30,B,2,HB,3,1.89,84,7.0,11,18,7,False,True,,,,,,
DO11UB30,B,2,HB,4,1.89,84,7.0,11,18,7,False,True,,,,,,
EL30AD28,A,1,LB,1,1.72,75,0.0,19,27,8,True,False,0.0104716303139519,0.0193431382009777,0.179477761790653,0.238102590506097,0.19717359579664,0.33672791272989
EL30AD28,A,1,LB,2,1.72,75,0.0,19,27,8,True,False,0.0081024520404175,0.0252066010378198,0.19243487856348,0.251014614051675,0.21367304121458,0.354988271545727
EL30AD28,A,1,LB,3,1.72,75,0.0,19,27,8,True,False,0.0062694558096048,0.0192958089189477,0.196651640107563,0.248807133663554,0.199466990033978,0.351866422842174
EL30AD28,A,1,LB,4,1.72,75,1.0,19,27,8,True,False,0.0086119444874354,0.041243418041642,0.196408413512879,0.270466885043368,0.205706204560777,0.382497937001136
